Subject	site	Sex	Group	Age	Date	Day	Session	trial_number	open_cylinder	comment
Zee	kenya	m	old chimps	18	14/10/2018	3	1	9	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	10	0	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	11	1	
Zee	kenya	m	old chimps	18	14/10/2018	3	1	12	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	1	1	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	2	1	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	3	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	4	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	5	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	6	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	7	1	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	8	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	9	1	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	10	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	11	0	
Alikaka	kenya	m	old chimps	16	15/10/2018	3	1	12	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	1	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	2	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	3	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	4	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	5	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	6	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	7	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	8	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	9	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	10	1	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	11	0	
Cheetah	kenya	f	old chimps	31	15/10/2018	3	1	12	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	1	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	2	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	3	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	4	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	5	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	6	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	7	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	8	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	9	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	10	1	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	11	0	
Mwanzo	kenya	f	old chimps	22	14/10/2018	3	1	12	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	1	0	accumulated all cylinders in the beginning of the session
Mary	kenya	f	old chimps	15	14/10/2018	3	1	2	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	3	1	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	4	1	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	5	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	6	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	7	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	8	1	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	9	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	10	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	11	0	
Mary	kenya	f	old chimps	15	14/10/2018	3	1	12	0	
Edvard	kenya	m	old chimps	18	15/10/2018	3	1	1	1	Edvard did not eat the peanuts and stopped the search after a few lifts. Edvard did not eat peanuts on the following day. Excluded from this task
Edvard	kenya	m	old chimps	18	15/10/2018	3	1	2	1	
Edvard	kenya	m	old chimps	18	15/10/2018	3	1	3	0	
Edvard	kenya	m	old chimps	18	15/10/2018	3	1	4	1	
Edvard	kenya	m	old chimps	18	15/10/2018	3	1	5	1	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	1	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	2	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	3	1	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	4	1	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	5	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	6	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	7	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	8	1	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	9	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	10	1	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	11	0	
Julia	kenya	f	old chimps	18	15/10/2018	3	1	12	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	1	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	2	1	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	3	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	4	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	5	1	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	6	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	7	1	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	8	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	9	1	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	10	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	11	0	
Amahirwe	kenya	m	old chimps	20	14/10/2018	3	1	12	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	1	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	2	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	3	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	4	1	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	5	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	6	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	7	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	8	0	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	9	1	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	10	1	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	11	1	
Niyonkuru	kenya	m	young chimps	28	08/11/2018	3	1	12	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	1	0	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	2	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	3	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	4	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	5	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	6	0	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	7	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	8	0	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	9	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	10	0	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	11	1	
Joy	kenya	f	young chimps	14	08/11/2018	3	1	12	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	1	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	2	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	3	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	4	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	5	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	6	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	7	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	8	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	9	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	10	0	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	11	1	
Bahati	kenya	f	young chimps	25	08/11/2018	3	1	12	1	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	1	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	2	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	3	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	4	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	5	1	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	6	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	7	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	8	1	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	9	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	10	1	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	11	0	
Dufatanya	kenya	f	young chimps	27	08/11/2018	3	1	12	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	1	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	2	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	3	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	4	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	5	1	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	6	1	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	7	1	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	8	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	9	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	10	1	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	11	0	
Alley	kenya	f	old chimps	31	12/11/2018	3	1	12	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	1	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	2	0	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	3	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	4	0	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	5	0	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	6	0	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	7	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	8	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	9	0	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	10	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	11	1	
Oscar	kenya	m	old chimps	21	12/11/2018	3	1	12	1	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	1	0	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	2	1	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	3	0	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	4	0	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	5	0	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	6	1	
Judy	kenya	f	old chimps	35	12/11/2018	3	1	7	1	stopped after 10 min
Judy	kenya	f	old chimps	35	12/11/2018	3	1	8		
Judy	kenya	f	old chimps	35	12/11/2018	3	1	9		
Judy	kenya	f	old chimps	35	12/11/2018	3	1	10		
Judy	kenya	f	old chimps	35	12/11/2018	3	1	11		
Judy	kenya	f	old chimps	35	12/11/2018	3	1	12		
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	1	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	2	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	3	1	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	4	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	5	1	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	6	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	7	1	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	8	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	9	1	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	10	0	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	11	1	
Ajabu	kenya	f	old chimps	10	12/11/2018	3	1	12	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	1	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	2	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	3	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	4	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	5	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	6	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	7	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	8	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	9	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	10	0	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	11	1	
Safari	kenya	m	old chimps	34	13/11/2018	3	1	12	0	
George	kenya	m	old chimps	15	13/11/2018	3	1	1	1	
George	kenya	m	old chimps	15	13/11/2018	3	1	2	1	
George	kenya	m	old chimps	15	13/11/2018	3	1	3	0	
George	kenya	m	old chimps	15	13/11/2018	3	1	4	0	
George	kenya	m	old chimps	15	13/11/2018	3	1	5	1	
George	kenya	m	old chimps	15	13/11/2018	3	1	6	0	
George	kenya	m	old chimps	15	13/11/2018	3	1	7	0	
George	kenya	m	old chimps	15	13/11/2018	3	1	8	0	stopped after 10 min
George	kenya	m	old chimps	15	13/11/2018	3	1	9		
George	kenya	m	old chimps	15	13/11/2018	3	1	10		
George	kenya	m	old chimps	15	13/11/2018	3	1	11		
George	kenya	m	old chimps	15	13/11/2018	3	1	12		
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	1	0	
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	2	1	
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	3	0	
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	4	0	
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	5	0	
Saidia	kenya	f	old chimps	15	15/11/2018	3	1	6	0	session stopped after 10 min
Saidia	kenya	f	old chimps	15		3	1	7		
Saidia	kenya	f	old chimps	15		3	1	8		
Saidia	kenya	f	old chimps	15		3	1	9		
Saidia	kenya	f	old chimps	15		3	1	10		
Saidia	kenya	f	old chimps	15		3	1	11		
Saidia	kenya	f	old chimps	15		3	1	12		
Angela	kenya	f	old chimps	7	13/11/2018	3	1	1	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	2	1	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	3	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	4	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	5	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	6	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	7	1	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	8	1	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	9	0	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	10	1	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	11	1	
Angela	kenya	f	old chimps	7	13/11/2018	3	1	12	0	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	1	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	2	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	3	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	4	0	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	5	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	6	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	7	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	8	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	9	0	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	10	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	11	1	
Manno	kenya	m	young chimps	5	09/10/2018	4	2	12	1	
William	kenya	m	young chimps	18	09/10/2018	4	2	1	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	2	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	3	1	
William	kenya	m	young chimps	18	09/10/2018	4	2	4	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	5	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	6	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	7	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	8	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	9	1	
William	kenya	m	young chimps	18	09/10/2018	4	2	10	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	11	0	
William	kenya	m	young chimps	18	09/10/2018	4	2	12	1	"5 pellets left, stopped after 5 min"
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	1		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	2		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	3		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	4		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	5		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	6		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	7		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	8		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	9		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	10		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	11		
Uruhara	kenya	m	young chimps	29	09/10/2018	4	2	12		
Roy	kenya	m	young chimps	11	09/10/2018	4	2	1	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	2	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	3	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	4	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	5	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	6	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	7	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	8	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	9	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	10	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	11	1	
Roy	kenya	m	young chimps	11	09/10/2018	4	2	12	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	1	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	2	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	3	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	4	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	5	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	6	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	7	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	8	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	9	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	10	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	11	1	
Tess	kenya	f	young chimps	26	10/10/2018	4	2	12	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	1	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	2	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	3	0	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	4	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	5	0	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	6	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	7	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	8	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	9	0	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	10	0	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	11	1	
Uruhara	kenya	m	young chimps	29	10/10/2018	4	2	12	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	1	0	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	2	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	3	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	4	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	5	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	6	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	7	1	
Chipie	kenya	f	young chimps	27	11/10/2018	4	2	8	1	
