"Subject","Updating_P1.mistakes","Updating_P1.correct","Updating_P2.mistakes","Updating_P2.correct","updating_P1P2_redSearch","Updating_P1P2.correct","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","boxes_correct_newrange","Boxes_P1.mistakes","Boxes_P1.correct","Grid_Distance","Grid_Distance_newrange","grid_numberAttempts"
"Bili",1.5,0.5,1.75,0.416666666666667,3.25,0.458333333333333,1,1.33333333333333,2.66666666666667,NA,0.666666666666667,1.66666666666667,1.125,0.4375,0.625,0.375,1.4428090415,0.599836740209749,6.5
"Bwambale",1,0.666666666666667,1.5,0.5,2.5,0.583333333333333,0.25,5,4.33333333333333,NA,1.66666666666667,1.66666666666667,0.75,0.625,0.375,0.625,0.936886723833333,0.740154355372221,13.4166666666667
"Cheetah",0.75,0.75,1.25,0.583333333333333,2,0.666666666666667,-3.75,3.66666666666667,2.33333333333333,0.666666666666667,1,2,1.25,0.375,0.625,0.375,1.15774351875,0.678899696953392,6.58333333333333
"Chipie",3,0,2,0.333333333333333,5,0.166666666666667,2.75,3.66666666666667,5,0.833333333333333,1.33333333333333,2.33333333333333,1.875,0.0625,0.875,0.125,1.39289805333333,0.613679558732262,10.375
"Cocoa",1.5,0.5,2.25,0.25,3.75,0.375,3,2,1.66666666666667,NA,1,0.666666666666667,1.25,0.375,0.75,0.25,1.02022005716667,0.717041845430375,5.5
"Dufatanya",1.25,0.583333333333333,1,0.666666666666667,2.25,0.625,-1.75,2.33333333333333,3.66666666666667,0.833333333333333,1,1.66666666666667,1.5,0.25,0.625,0.375,1.22085679491667,0.661395222279017,6.75
"Edvard",1.25,0.583333333333333,1.75,0.416666666666667,3,0.5,-0.25,4.5,5,1,2,2.66666666666667,1.375,0.3125,0.875,0.125,1.216760513,0.6625313265573,6.16666666666667
"Indi",0.75,0.75,1.5,0.5,2.25,0.625,-0.25,2.66666666666667,3.66666666666667,NA,1,1.33333333333333,1,0.5,0.375,0.625,1.25647393575,0.651516804019691,2.75
"Jane",2.25,0.25,1.75,0.416666666666667,4,0.333333333333333,1.25,4.33333333333333,2.66666666666667,0.833333333333333,2,1.66666666666667,1.5,0.25,0.875,0.125,1.68333816783333,0.533125958325556,10.4166666666667
"Joy",1.5,0.5,2,0.333333333333333,3.5,0.416666666666667,-1.25,3.66666666666667,4,0.666666666666667,1.66666666666667,1.66666666666667,1.125,0.4375,0.625,0.375,1.48105825266667,0.589228316929461,7.83333333333333
"Judy",1.5,0.5,1.25,0.583333333333333,2.75,0.541666666666667,-1.25,1.66666666666667,2.5,1,1.33333333333333,1.5,1.375,0.3125,0.75,0.25,1.10892798225,0.692438691825466,6.66666666666667
