"Subject","Updating_P1P2.correct","boxes_correct_newrange","Grid_Distance_newrange","Inh.grid.correct1","Inh.cylinders.correct1","Inh.boxes.correct1","Shifting.tray.correct.S2","proportion_switches","SD","SR","CD","ID","ED","site","Group","Sex","Age"
"Rambo",0.166666666666667,0.5625,0.554130379748708,0.5,0.333333333333333,0,0.791666666666667,0.272727272727273,0.592592592592593,0,0.8,1,0.475,"uganda","Uganda","m",15
"Roy",0.416666666666667,0.625,0.621914341941079,0.5,0.416666666666667,0.0833333333333333,0.75,0.727272727272727,0.727272727272727,0.166666666666667,0.615384615384615,1,0.5,"kenya","young chimps","m",11
"Safari",0.666666666666667,0.4375,0.698261562842036,0.5,0.416666666666667,0.0833333333333333,NA,NA,0.5,0.0416666666666667,0.692307692307692,0.75,0.6,"kenya","old chimps","m",34
"Sally",0.375,0.4375,0.632826588871807,0.5,0.666666666666667,0.416666666666667,0.541666666666667,0.181818181818182,0.642857142857143,0.375,0.727272727272727,0.857142857142857,0.4,"uganda","Uganda","f",28
"Sara",0.708333333333333,0.3125,0.6326746770697,0.5,0.416666666666667,0.25,0.375,0.909090909090909,0.578947368421053,0.157894736842105,0.6,1,0.5,"uganda","Uganda","f",9
"Tess",0.625,0.25,0.489729234426768,0.5,0.666666666666667,0.0833333333333333,0.5,0.545454545454545,0.541666666666667,NA,0.583333333333333,0.909090909090909,0.525,"kenya","young chimps","f",26
"Tumbo",0.541666666666667,0.3125,0.502082488825333,0.333333333333333,0.666666666666667,0.333333333333333,0.583333333333333,0.363636363636364,0.56140350877193,0.333333333333333,0.523809523809524,0.785714285714286,0.475,"uganda","Uganda","m",30
"Umugenzi",0.666666666666667,0.5,0.744119835174522,0.5,0.416666666666667,0,0.625,0.727272727272727,0.666666666666667,0.0416666666666667,1,1,0.525,"uganda","Uganda","m",22
"Umutama",0.5,0.375,0.559698094334894,0.5,0.583333333333333,0,0.541666666666667,0.909090909090909,0.875,0.421052631578947,0.8,0.857142857142857,0.5,"uganda","Uganda","m",23
"Uruhara",0.5,0.5,0.613894394481361,0.166666666666667,0.583333333333333,0.25,0.833333333333333,0.818181818181818,0.625,0.125,0.722222222222222,0.785714285714286,0.6,"kenya","young chimps","m",29
"William",0.541666666666667,0.375,0.601479295721144,0.166666666666667,0.166666666666667,0,0.625,0.545454545454545,0.857142857142857,0.8,0.75,1,0.5,"kenya","young chimps","m",18
"Yoyo",0.75,0.3125,0.532051698455151,0.666666666666667,0.5,0,0.458333333333333,0.636363636363636,0.55,0.208333333333333,0.675675675675676,1,0.525,"uganda","Uganda","f",20
"Zee",0.291666666666667,0.375,0.665360702081318,0.333333333333333,0.333333333333333,0.25,0.458333333333333,0.363636363636364,0.652173913043478,0.0416666666666667,0.565217391304348,0.888888888888889,0.5,"kenya","old chimps","m",5
