Subject	Site	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	P1P2_trial_correct	redundant_searches	P1_1st	P2_1st	P1_2nd	P1_2nd_c	P2_2nd	P2_2nd_c	P1_3rd	P1_3rd_c	P2_3rd	P2_3rd_c	P1_4th	P1_4th_c	P2_4th	P2_4th_c	P1_5th	P1_5th_c	P2_5th	P2_5th_c	P1_6th	P1_6th_c	P2_6th	P2_6th_c	P1_7th	P1_7th_c	Comment	number_retr_food	diff_score	P1P2_first4	P1_first4
Alikaka	kenya	m	old chimps	16	13/10/2018	2	two_platform:identical_boxes	8	4	0	6	5	5	2	1	5	0	3	1	4	1	2	0	4	0	2	0	4	0	3	0						5	1	5	3
Niyonkuru	kenya	m	young chimps	28	07/11/2018	2	two_platform:identical_boxes	8	1	0	6	3	3	4	1	5	1	2	1	3	0	4	0	2	1	4	0	2	0	2	0	5	0				6	0	6	3
Niyonkuru	kenya	m	young chimps	28	07/11/2018	2	two_platform:identical_boxes	8	2	0	3	3	4	5	1	3	1	2	1	3	0	2	0	4	0	4	1	5	1								7	-4	5	3
Niyonkuru	kenya	m	young chimps	28	07/11/2018	2	two_platform:identical_boxes	8	3	0	4	4	3	3	1	4	1	5	1	3	0	5	0	5	1	3	0	2	1	5	0						7	-3	6	3
Niyonkuru	kenya	m	young chimps	28	07/11/2018	2	two_platform:identical_boxes	8	4	0	3	4	2	4	0	3	1	5	1	5	1	5	0	4	1	4	0										6	-3	6	2
Kisa	kenya	m	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	1	0	6	4	4	5	1	4	0	5	0	4	0	4	0	2	1	3	1	4	0	3	0						5	1	4	2
Kisa	kenya	m	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	2	0	6	5	3	5	0	3	0	3	1	3	0	4	1	4	1	5	0	2	1	5	0	2	0			"session stopped, he did not approach the platform for more than 1 min"	6	0	5	3
Kisa	kenya	m	young chimps	25	08/11/2018	2	two_platform:identical_boxes	8	3	0	4	2	4	5	1	4	0	4	1	3	1	5	0	3	0	3	1	3	0								6	-2	5	3
Kisa	kenya	m	young chimps	25	08/11/2018	2	two_platform:identical_boxes	8	4	0	6	5	5	4	1	3	1	3	1	3	0	5	0	2	1	4	0	2	0	3	0	3	0				6	0	6	3
Akela	kenya	f	young chimps	30	07/11/2018	2	two_platform:identical_boxes	8	1	0	6	3	5	5	1	5	0	5	0	3	1	5	0	4	1	5	0	4	0	2	1	3	0				6	0	5	2
Akela	kenya	f	young chimps	30	07/11/2018	2	two_platform:identical_boxes	8	2	0	6	5	5	5	0	4	1	5	0	5	0	5	0	2	1	5	0	4	0								4	2	4	1
Akela	kenya	f	young chimps	30	07/11/2018	2	two_platform:identical_boxes	8	3	0	6	5	5	5	0	4	1	3	1	4	0	4	1	4	0	5	0	3	1	5	0	3	0				6	0	5	3
Akela	kenya	f	young chimps	30	07/11/2018	2	two_platform:identical_boxes	8	4	0	6	5	5	2	1	5	0	5	0	4	1	5	0	3	1	5	0	4	0	4	1	2	1	4	0		7	-1	5	2
Dufatanya	kenya	f	young chimps	27	07/11/2018	2	two_platform:identical_boxes	8	1	0	4	3	3	3	0	3	0	3	0	5	1	5	1	4	1	2	1	2	1	5	0						7	-3	5	2
Dufatanya	kenya	f	young chimps	27	07/11/2018	2	two_platform:identical_boxes	8	2	0	6	3	3	5	1	3	0	4	1	5	1	5	0	2	1	4	0	2	0	5	0	3	0			"one trial repeated, experimenter error, trial was aborted to early"	6	0	6	3
Dufatanya	kenya	f	young chimps	27	07/11/2018	2	two_platform:identical_boxes	8	3	0	6	3	3	5	1	2	1	4	1	2	0	3	0	5	1	5	0	3	0	3	0	5	0				6	0	6	3
Dufatanya	kenya	f	young chimps	27	07/11/2018	2	two_platform:identical_boxes	8	4	0	3	2	5	3	1	4	1	5	1	2	1	5	0	2	0	4	1	5	0								7	-4	6	3
Bahati	kenya	f	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	1	0	3	5	3	3	1	2	1	3	0	4	1	3	0	4	0	2	1	5	1	5	0						7	-4	5	2
Bahati	kenya	f	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	2	0	6	3	2	3	0	2	0	5	1	5	1	5	0	5	0	4	1	2	0	4	0						5	1	4	2
Bahati	kenya	f	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	3	0	6	3	3	5	1	4	0	4	1	4	1	4	0	5	0	2	1	5	0	2	0						6	0	5	3
Bahati	kenya	f	young chimps	25	07/11/2018	2	two_platform:identical_boxes	8	4	0	2	2	2	4	1	3	1	2	0	4	1	4	0	5	1	3	1										7	-5	6	2
Joy	kenya	f	young chimps	14	07/11/2018	2	two_platform:identical_boxes	8	1	0	6	4	3	4	0	3	0	4	0	5	1	5	1	5	0	5	0	5	0								4	2	4	2
Joy	kenya	f	young chimps	14	07/11/2018	2	two_platform:identical_boxes	8	2	0	3	3	2	5	1	5	1	2	1	2	0	5	0	5	0	4	1	4	1								7	-4	5	3
Joy	kenya	f	young chimps	14	07/11/2018	2	two_platform:identical_boxes	8	3	0	3	4	5	5	1	5	0	3	1	5	0	4	0	2	1	2	1	4	1								7	-4	5	3
Joy	kenya	f	young chimps	14	07/11/2018	2	two_platform:identical_boxes	8	4	0	6	4	4	2	1	5	1	2	0	5	0	4	0	4	0	5	1	5	0	5	0						5	1	4	2
Safari	kenya	m	old chimps	34	10/11/2018	2	two_platform:identical_boxes	8	1	0	2	5	4	3	1	5	1	2	1	5	0	4	1	4	0												6	-4	6	4
Safari	kenya	m	old chimps	34	10/11/2018	2	two_platform:identical_boxes	8	2	0		5	5	4	1	4	1	3	1	2	1	4	0													did not approach platform for 1 min			6	3
Safari	kenya	m	old chimps	34	10/11/2018	2	two_platform:identical_boxes	8	3	0	2	2	2	3	1	5	1	5	1	5	0	4	1	2	0												6	-4	6	4
Safari	kenya	m	old chimps	34	10/11/2018	2	two_platform:identical_boxes	8	4	0		5	3	4	1	5	1	4	0	2	1	3	1	3	0											did not approach platform for 1 min; one trial in between with only three choices			6	3
Oscar	kenya	m	old chimps	21	10/11/2018	2	two_platform:identical_boxes	8	1	0	6	5	5	5	0	5	0	5	0	4	1	5	0	4	0	3	1	4	0								4	2	3	1
Oscar	kenya	m	old chimps	21	10/11/2018	2	two_platform:identical_boxes	8	2	0	6	5	4	3	1	5	1	4	1	5	0	4	0	5	0	3	0	4	0	3	0						5	1	5	3
Oscar	kenya	m	old chimps	21	10/11/2018	2	two_platform:identical_boxes	8	3	0	6	5	4	5	0	5	1	5	0	5	0	5	0	3	1	4	1	5	0	5	0						5	1	4	1
Oscar	kenya	m	old chimps	21	10/11/2018	2	two_platform:identical_boxes	8	4	0	6	5	4	5	0	4	0	5	0	5	1	5	0	5	0	5	0										3	3	3	1
Judy	kenya	f	old chimps	35	10/11/2018	2	two_platform:identical_boxes	8	1	0	6	5	5	5	0	4	1	3	1	4	0	3	0	3	1	5	0	3	0	4	1	2	1	4	0		7	-1	5	2
Judy	kenya	f	old chimps	35	10/11/2018	2	two_platform:identical_boxes	8	2	0	3	4	5	4	0	4	1	2	1	4	0	5	1	2	1	4	0	3	1	3	1						8	-5	6	3
Judy	kenya	f	old chimps	35	10/11/2018	2	two_platform:identical_boxes	8	3	0	6	5	5	4	1	3	1	3	1	2	1	3	0	2	0	4	0	3	0	4	0	2	0				6	0	6	3
Judy	kenya	f	old chimps	35	10/11/2018	2	two_platform:identical_boxes	8	4	0	6	4	5	5	1	5	0	5	0	4	1	4	0	4	0	5	0	2	1	4	0						5	1	4	2
Alley	kenya	f	old chimps	31	10/11/2018	2	two_platform:identical_boxes	8	1	0	6	3	3	5	1	3	0	5	0	3	0	5	0	4	1	4	1	4	0	5	0						5	1	4	2
Alley	kenya	f	old chimps	31	10/11/2018	2	two_platform:identical_boxes	8	2	0	1	3	3	5	1	4	1	2	1	5	1	4	1	4	0												7	-6	7	4
Alley	kenya	f	old chimps	31	10/11/2018	2	two_platform:identical_boxes	8	3	0	6	3	4	3	0	3	1	2	1	4	0	5	1	4	0	2	0	4	0	3	0						5	1	5	3
Alley	kenya	f	old chimps	31	10/11/2018	2	two_platform:identical_boxes	8	4	0	6	4	5	3	1	4	1	4	0	4	0	2	1	5	0	2	0	2	1	2	0	3	1	3	0		7	-1	5	3
George	kenya	m	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	1			3	5	2	1																					stopped to participate for 1 min			3	2
George	kenya	m	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	2			3	2	4	1	3	1	3	0	3	0	3	0													stopped to participate for 1 min			4	2
George	kenya	m	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	3																											"with banana, did not approach platform"			2	1
George	kenya	m	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	4																														2	1
Ajabu	kenya	f	old chimps	10	10/11/2018	2	two_platform:identical_boxes	8	1	0	6	5	4	3	1	5	1	5	0	4	0	2	1	2	1	5	0	4	0	2	0	2	0				6	0	6	3
Ajabu	kenya	f	old chimps	10	10/11/2018	2	two_platform:identical_boxes	8	2	0	6	2	2	4	1	2	0	5	1	2	0	4	0	4	1	5	0	4	0	4	0						5	1	5	3
Ajabu	kenya	f	old chimps	10	10/11/2018	2	two_platform:identical_boxes	8	3	0	5	3	3	2	1	2	1	3	0	3	0	2	0	2	0	4	1	4	1	5	1	3	0				7	-2	4	2
Ajabu	kenya	f	old chimps	10	10/11/2018	2	two_platform:identical_boxes	8	4	0	3	4	2	2	1	2	0	2	0	3	1	5	1	4	1	3	1	3	0								7	-4	6	3
Saidia	kenya	f	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	1	0																													2	1
Saidia	kenya	f	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	2	0																													2	1
Saidia	kenya	f	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	3	0																													2	1
Saidia	kenya	f	old chimps	15	10/11/2018	2	two_platform:identical_boxes	8	4	0																													2	1
Angela	kenya	f	old chimps	7	10/11/2018	2	two_platform:identical_boxes	8	1	0	3	4	4	4	0	2	1	4	0	3	1	4	0	5	1	2	1										6	-3	5	1
Angela	kenya	f	old chimps	7	10/11/2018	2	two_platform:identical_boxes	8	2	0	6	4	4	4	0	4	0	3	1	2	1	4	0	3	1	3	0	3	0	3	0						5	1	5	2
Angela	kenya	f	old chimps	7	10/11/2018	2	two_platform:identical_boxes	8	3	0	5	4	3	2	1	5	1	5	1	3	0	4	0	2	1	2	0	3	0	3	1	2	0				7	-2	6	3
Angela	kenya	f	old chimps	7	10/11/2018	2	two_platform:identical_boxes	8	4	0	6	4	2	3	1	3	1	5	1	4	1	3	0	3	0	5	0	2	0	4	0	4	0				6	0	6	3
Asega	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	1	1	0	3	1	2	1	2	1	1	1	4	1	4	1	3	1												6		8	4
Asega	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	2	1	0	3	2	2	1	1	1	1	1	3	1	4	1	4	1												6		8	4
Asega	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	3	0	2	4	3	2	1	2	1	1	1	1	1	4	0	2	0	3	1	4	1								6	-4	6	3
Asega	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	4	0	3	2	3	1	1	2	1	4	1	4	1	4	0	2	0	3	1	3	0								5	-2	6	3
Baluku	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	1	1	0	4	2	2	1	1	1	3	1	4	1	1	1	3	1												6		8	4
Baluku	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	2	0	2	3	3	3	0	4	1	3	0	1	1	1	1	2	1	4	1										5	-3	6	2
Baluku	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	3	0	6	4	2	1	1	4	1	3	1	1	1	3	0	2	0	4	0	1	0	4	0	2	0				4	2	6	3
Baluku	uganda	m	Uganda	21	13/10/2019	2	two_platform:identical_boxes	8	4	0	6	3	2	1	1	4	1	3	0	3	1	4	1	3	0	3	0	3	0	4	0	3	0				4	2	6	3
Kidogo	uganda	f	Uganda	35	13/10/2019	2	two_platform:identical_boxes	8	1	0	6	4	4	3	1	4	0	3	0	4	0	4	0	2	1	1	1	2	0	1	0						3	3	4	2
Kidogo	uganda	f	Uganda	35	13/10/2019	2	two_platform:identical_boxes	8	2	0	4	2	4	3	1	2	1	2	0	3	1	4	1	4	0	3	0	1	1	4	0						5	-1	6	3
Kidogo	uganda	f	Uganda	35	13/10/2019	2	two_platform:identical_boxes	8	3	0	2	3	4	3	0	2	1	4	1	3	1	4	0	1	1	1	1										5	-3	6	2
Kidogo	uganda	f	Uganda	35	13/10/2019	2	two_platform:identical_boxes	8	4	0	5	4	3	1	1	2	1	4	0	1	1	4	0	2	0	4	0	4	1	4	0						4	1	5	2
Kisembo	uganda	m	Uganda	20	14/10/2019	2	two_platform:identical_boxes	8	1	0	6	4	4	4	0	4	0	3	1	3	1	4	0	3	0	3	0	4	0								2	4	4	2
Kisembo	uganda	m	Uganda	20	14/10/2019	2	two_platform:identical_boxes	8	2	0	6	4	3	4	0	3	0	4	0	3	0	4	0	3	0												0	6	2	1
Kisembo	uganda	m	Uganda	20	14/10/2019	2	two_platform:identical_boxes	8	3	0	2	3	4	3	0	2	1	4	1	3	1	4	0	1	1	3	0										4	-2	6	2
