Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,baited_Distractor,chose_side,correct,Comment,correct_check,side_change,box_change,dopple_change,chosen_distractor
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,21,l,green,l,1,,1,yes,yes,yes,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,22,l,heart,r,0,,0,no,yes,no,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,23,r,heart,l,0,,0,yes,no,no,green
Yoyo,uganda,f,Uganda,20,28/11/2019,3,1,24,r,green,l,0,,0,no,yes,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,1,r,heart,r,1,,1,,,,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,2,l,green,r,0,,0,yes,yes,yes,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,3,l,heart,r,0,,0,no,yes,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,4,r,green,r,1,,1,yes,yes,yes,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,5,l,green,r,0,,0,yes,no,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,6,l,heart,r,0,,0,no,yes,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,7,r,green,r,1,,1,yes,yes,yes,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,8,r,heart,r,1,,1,no,yes,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,9,r,green,r,1,,1,no,yes,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,10,r,heart,r,1,,1,no,yes,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,11,l,green,r,0,,0,yes,yes,yes,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,12,l,heart,r,0,,0,no,yes,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,13,l,heart,r,0,,0,no,no,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,14,r,heart,r,1,,1,yes,no,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,15,l,green,r,0,,0,yes,yes,yes,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,16,r,green,r,1,,1,yes,no,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,17,l,heart,r,0,,0,yes,yes,yes,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,18,l,green,r,0,,0,no,yes,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,19,r,green,r,1,,1,yes,no,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,20,r,heart,r,1,,1,no,yes,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,21,l,green,r,0,,0,yes,yes,yes,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,22,l,heart,r,0,,0,no,yes,no,green
Okech,uganda,m,Uganda,20,28/11/2019,3,1,23,r,heart,r,1,,1,yes,no,no,heart
Okech,uganda,m,Uganda,20,28/11/2019,3,1,24,r,green,r,1,,1,no,yes,no,green
